participant,method,age,gender,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13
P2,A,18-24,Male,3,6,2,5,4,2,4,6,3,5,1,1,6
P2,B,18-24,Male,6,5,2,5,2,3,5,7,6,3,2,4,4
P3,A,18-24,Male,3,4,6,3,6,6,2,4,1,7,4,4,3
P3,B,18-24,Male,3,5,2,6,2,4,2,7,2,7,2,3,5
P4,A,18-24,Male,5,5,4,3,5,5,5,6,4,6,1,1,6
P4,B,18-24,Male,5,7,3,6,5,5,5,5,4,6,1,1,6
P5,A,25-34,Male,5,5,3,5,3,5,2,5,2,6,2,3,5
P5,B,25-34,Male,3,5,3,6,2,7,2,5,2,6,2,5,4
P6,A,55-64,Female,6,6,5,3,7,5,6,5,5,4,4,6,3
P6,B,55-64,Female,6,7,5,6,4,7,6,5,5,5,7,7,3
P7,A,55-64,Male,4,5,3,7,3,1,3,7,4,3,1,1,7
P7,B,55-64,Male,4,7,4,5,3,3,4,7,7,3,1,1,7
